date,ym,american_samoa_rnz_body_count,american_samoa_rnz_epu_count,american_samoa_rnz_ratio,american_samoa_abc_au_body_count,american_samoa_abc_au_epu_count,american_samoa_abc_au_ratio,news_total,american_samoa_rnz_weights,american_samoa_abc_au_weights,american_samoa_rnz_z_score,american_samoa_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted
2015-02-01,2015-2,20,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-03-01,2015-3,34,0.0,0.0,1.0,0.0,0.0,35.0,0.9714285714285714,0.02857142857142857,0.0,,0.0,0.0,0.0,0.0
2015-04-01,2015-4,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-05-01,2015-5,32,0.0,0.0,0.0,0.0,0.0,32.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-06-01,2015-6,39,0.0,0.0,1.0,0.0,0.0,40.0,0.975,0.025,0.0,,0.0,0.0,0.0,0.0
2015-07-01,2015-7,33,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-08-01,2015-8,44,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-09-01,2015-9,40,0.0,0.0,1.0,0.0,0.0,41.0,0.975609756097561,0.024390243902439025,0.0,,0.0,0.0,0.0,0.0
2015-10-01,2015-10,22,1.0,0.045454545454545456,0.0,0.0,0.0,22.0,1.0,0.0,3.259281156412177,,3.259281156412177,3.259281156412177,964.0469097249717,959.2710387926224
2015-11-01,2015-11,39,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2015-12-01,2015-12,33,2.0,0.06060606060606061,0.0,0.0,0.0,33.0,1.0,0.0,4.345708208549569,,4.345708208549569,4.345708208549569,1285.3958796332954,1279.0280517234964
2016-01-01,2016-1,36,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-02-01,2016-2,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-03-01,2016-3,34,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-04-01,2016-4,27,0.0,0.0,1.0,0.0,0.0,28.0,0.9642857142857143,0.03571428571428571,0.0,,0.0,0.0,0.0,0.0
2016-05-01,2016-5,18,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-06-01,2016-6,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-07-01,2016-7,26,0.0,0.0,1.0,0.0,0.0,27.0,0.9629629629629629,0.037037037037037035,0.0,,0.0,0.0,0.0,0.0
2016-08-01,2016-8,26,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-09-01,2016-9,23,1.0,0.043478260869565216,0.0,0.0,0.0,23.0,1.0,0.0,3.1175732800464298,,3.1175732800464298,3.1175732800464298,922.131826693451,917.5636023233778
2016-10-01,2016-10,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2016-11-01,2016-11,38,1.0,0.02631578947368421,0.0,0.0,0.0,38.0,1.0,0.0,1.886952248449155,,1.886952248449155,1.886952248449155,558.1324214197203,555.3674435115182
2016-12-01,2016-12,20,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-01-01,2017-1,24,1.0,0.041666666666666664,1.0,0.0,0.0,25.0,0.96,0.04,2.9876743933778287,,2.9876743933778287,2.8681674176427157,848.361280557975,879.3317855599038
2017-02-01,2017-2,30,0.0,0.0,0.0,0.0,0.0,30.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-03-01,2017-3,33,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-04-01,2017-4,36,2.0,0.05555555555555555,0.0,0.0,0.0,36.0,1.0,0.0,3.983565857837105,,3.983565857837105,3.983565857837105,1178.2795563305208,1172.4423807465384
2017-05-01,2017-5,23,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-06-01,2017-6,29,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-07-01,2017-7,18,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-08-01,2017-8,22,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-09-01,2017-9,23,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-10-01,2017-10,27,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-11-01,2017-11,20,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2017-12-01,2017-12,18,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-01-01,2018-1,27,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-02-01,2018-2,44,0.0,0.0,0.0,0.0,0.0,44.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-03-01,2018-3,28,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-04-01,2018-4,27,1.0,0.037037037037037035,0.0,0.0,0.0,27.0,1.0,0.0,2.655710571891403,,2.655710571891403,2.655710571891403,785.5197042203471,781.6282538310255
2018-05-01,2018-5,23,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-06-01,2018-6,14,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-07-01,2018-7,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-08-01,2018-8,35,0.0,0.0,0.0,0.0,0.0,35.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-09-01,2018-9,25,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-10-01,2018-10,27,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-11-01,2018-11,22,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2018-12-01,2018-12,14,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-01-01,2019-1,34,0.0,0.0,0.0,0.0,0.0,34.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-02-01,2019-2,36,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-03-01,2019-3,37,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-04-01,2019-4,31,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-05-01,2019-5,41,0.0,0.0,0.0,0.0,0.0,41.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-06-01,2019-6,31,0.0,0.0,1.0,0.0,0.0,32.0,0.96875,0.03125,0.0,,0.0,0.0,0.0,0.0
2019-07-01,2019-7,29,0.0,0.0,0.0,0.0,0.0,29.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-08-01,2019-8,39,0.0,0.0,1.0,0.0,0.0,40.0,0.975,0.025,0.0,,0.0,0.0,0.0,0.0
2019-09-01,2019-9,28,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-10-01,2019-10,36,0.0,0.0,0.0,0.0,0.0,36.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2019-11-01,2019-11,29,0.0,0.0,4.0,0.0,0.0,33.0,0.8787878787878788,0.12121212121212122,0.0,,0.0,0.0,0.0,0.0
2019-12-01,2019-12,33,0.0,0.0,1.0,0.0,0.0,34.0,0.9705882352941176,0.029411764705882353,0.0,,0.0,0.0,0.0,0.0
2020-01-01,2020-1,27,0.0,0.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-02-01,2020-2,38,1.0,0.02631578947368421,0.0,0.0,0.0,38.0,1.0,0.0,1.886952248449155,,1.886952248449155,1.886952248449155,558.1324214197203,555.3674435115182
2020-03-01,2020-3,40,0.0,0.0,0.0,0.0,0.0,40.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-04-01,2020-4,33,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-05-01,2020-5,40,0.0,0.0,1.0,0.0,0.0,41.0,0.975609756097561,0.024390243902439025,0.0,,0.0,0.0,0.0,0.0
2020-06-01,2020-6,31,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-07-01,2020-7,33,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-08-01,2020-8,33,0.0,0.0,0.0,0.0,0.0,33.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-09-01,2020-9,27,0.0,0.0,1.0,0.0,0.0,28.0,0.9642857142857143,0.03571428571428571,0.0,,0.0,0.0,0.0,0.0
2020-10-01,2020-10,31,0.0,0.0,0.0,0.0,0.0,31.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-11-01,2020-11,39,0.0,0.0,0.0,0.0,0.0,39.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2020-12-01,2020-12,19,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-01-01,2021-1,12,0.0,0.0,1.0,1.0,1.0,13.0,0.9230769230769231,0.07692307692307693,0.0,,0.0,0.0,0.0,0.0
2021-02-01,2021-2,20,0.0,0.0,0.0,0.0,0.0,20.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-03-01,2021-3,28,0.0,0.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-04-01,2021-4,17,0.0,0.0,0.0,0.0,0.0,17.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-05-01,2021-5,22,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-06-01,2021-6,23,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-07-01,2021-7,25,0.0,0.0,0.0,0.0,0.0,25.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-08-01,2021-8,20,1.0,0.05,0.0,0.0,0.0,20.0,1.0,0.0,3.585209272053395,,3.585209272053395,3.585209272053395,1060.4516006974688,1055.1981426718846
2021-09-01,2021-9,22,0.0,0.0,0.0,0.0,0.0,22.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-10-01,2021-10,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-11-01,2021-11,23,0.0,0.0,0.0,0.0,0.0,23.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2021-12-01,2021-12,19,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-01-01,2022-1,7,0.0,0.0,5.0,0.0,0.0,12.0,0.5833333333333334,0.4166666666666667,0.0,,0.0,0.0,0.0,0.0
2022-02-01,2022-2,21,0.0,0.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-03-01,2022-3,26,0.0,0.0,0.0,0.0,0.0,26.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-04-01,2022-4,9,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-05-01,2022-5,11,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-06-01,2022-6,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-07-01,2022-7,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-08-01,2022-8,8,0.0,0.0,1.0,0.0,0.0,9.0,0.8888888888888888,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0
2022-09-01,2022-9,7,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-10-01,2022-10,9,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-11-01,2022-11,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2022-12-01,2022-12,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-01-01,2023-1,4,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-02-01,2023-2,7,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-03-01,2023-3,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-04-01,2023-4,11,0.0,0.0,1.0,0.0,0.0,12.0,0.9166666666666666,0.08333333333333333,0.0,,0.0,0.0,0.0,0.0
2023-05-01,2023-5,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-06-01,2023-6,7,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-07-01,2023-7,5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-08-01,2023-8,6,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-09-01,2023-9,8,0.0,0.0,1.0,0.0,0.0,9.0,0.8888888888888888,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0
2023-10-01,2023-10,7,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-11-01,2023-11,6,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2023-12-01,2023-12,7,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-01-01,2024-1,3,0.0,0.0,1.0,0.0,0.0,4.0,0.75,0.25,0.0,,0.0,0.0,0.0,0.0
2024-02-01,2024-2,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-03-01,2024-3,5,0.0,0.0,1.0,0.0,0.0,6.0,0.8333333333333334,0.16666666666666666,0.0,,0.0,0.0,0.0,0.0
2024-04-01,2024-4,5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-05-01,2024-5,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-06-01,2024-6,4,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-07-01,2024-7,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-08-01,2024-8,9,0.0,0.0,1.0,1.0,1.0,10.0,0.9,0.1,0.0,,0.0,0.0,0.0,0.0
2024-09-01,2024-9,7,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-10-01,2024-10,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2024-11-01,2024-11,8,0.0,0.0,1.0,0.0,0.0,9.0,0.8888888888888888,0.1111111111111111,0.0,,0.0,0.0,0.0,0.0
2024-12-01,2024-12,3,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2025-01-01,2025-1,1,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0,,0.0,0.0,0.0,0.0
2025-02-01,2025-2,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2025-03-01,2025-3,8,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2025-04-01,2025-4,9,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2025-05-01,2025-5,11,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2025-06-01,2025-6,6,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
2025-07-01,2025-7,12,0.0,0.0,1.0,0.0,0.0,13.0,0.9230769230769231,0.07692307692307693,0.0,,0.0,0.0,0.0,0.0
2025-08-01,2025-8,10,0.0,0.0,1.0,0.0,0.0,11.0,0.9090909090909091,0.09090909090909091,0.0,,0.0,0.0,0.0,0.0
2025-09-01,2025-9,5,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,,0.0,0.0,0.0,0.0
