date,ym,guam_rnz_body_count,guam_rnz_epu_count,guam_rnz_ratio,guam_abc_au_body_count,guam_abc_au_epu_count,guam_abc_au_ratio,news_total,guam_rnz_weights,guam_abc_au_weights,guam_rnz_z_score,guam_abc_au_z_score,z_score_unweighted,z_score_weighted,epu_weighted,epu_unweighted,epu_inflation
2015-01-01,2015-1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,,8.485281374238568,8.485281374238568,8.485281374238568,7100.000000000001,7200.0,7100.000000000001
2015-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2015-03-01,2015-3,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.75,0.25,,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,2015-4,7.0,0.0,0.0,1.0,0.0,0.0,8.0,0.875,0.125,,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,2015-5,14.0,0.0,0.0,1.0,0.0,0.0,15.0,0.9333333333333333,0.06666666666666667,,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,2015-6,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,2015-7,9.0,0.0,0.0,1.0,0.0,0.0,10.0,0.9,0.1,,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,2015-8,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,2015-9,9.0,0.0,0.0,1.0,0.0,0.0,10.0,0.9,0.1,,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,2015-10,10.0,0.0,0.0,1.0,0.0,0.0,11.0,0.9090909090909091,0.09090909090909091,,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,2015-11,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,2015-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,2016-1,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,2016-2,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,2016-3,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,2016-4,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,2016-5,20.0,0.0,0.0,3.0,0.0,0.0,23.0,0.8695652173913043,0.13043478260869565,,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,2016-6,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,2016-7,7.0,0.0,0.0,1.0,0.0,0.0,8.0,0.875,0.125,,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,2016-8,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8,0.2,,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,2016-9,14.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,2016-10,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,2016-11,14.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,2016-12,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,2017-1,13.0,0.0,0.0,1.0,0.0,0.0,14.0,0.9285714285714286,0.07142857142857142,,0.0,0.0,0.0,0.0,0.0,0.0
2017-02-01,2017-2,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-03-01,2017-3,11.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-04-01,2017-4,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-05-01,2017-5,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-06-01,2017-6,5.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,2017-7,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-01,2017-8,29.0,0.0,0.0,10.0,0.0,0.0,39.0,0.7435897435897436,0.2564102564102564,,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-01,2017-9,10.0,0.0,0.0,1.0,0.0,0.0,11.0,0.9090909090909091,0.09090909090909091,,0.0,0.0,0.0,0.0,0.0,0.0
2017-10-01,2017-10,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-11-01,2017-11,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2017-12-01,2017-12,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01,2018-1,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-02-01,2018-2,11.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-03-01,2018-3,9.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-04-01,2018-4,7.0,0.0,0.0,2.0,0.0,0.0,9.0,0.7777777777777778,0.2222222222222222,,0.0,0.0,0.0,0.0,0.0,0.0
2018-05-01,2018-5,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-06-01,2018-6,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-07-01,2018-7,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-01,2018-8,10.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-01,2018-9,14.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-01,2018-10,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-11-01,2018-11,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2018-12-01,2018-12,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-01-01,2019-1,11.0,0.0,0.0,1.0,0.0,0.0,12.0,0.9166666666666666,0.08333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
2019-02-01,2019-2,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-03-01,2019-3,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,2019-4,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,2019-5,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,2019-6,8.0,0.0,0.0,1.0,0.0,0.0,9.0,0.8888888888888888,0.1111111111111111,,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,2019-7,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,2019-8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,2019-9,8.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,2019-10,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,2019-11,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,2019-12,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,2020-1,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,2020-2,7.0,0.0,0.0,1.0,0.0,0.0,8.0,0.875,0.125,,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,2020-3,15.0,0.0,0.0,2.0,0.0,0.0,17.0,0.8823529411764706,0.11764705882352941,,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,2020-4,21.0,0.0,0.0,7.0,0.0,0.0,28.0,0.75,0.25,,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,2020-5,8.0,0.0,0.0,1.0,0.0,0.0,9.0,0.8888888888888888,0.1111111111111111,,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,2020-6,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8,0.2,,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,2020-7,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,2020-8,18.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,2020-9,11.0,0.0,0.0,2.0,0.0,0.0,13.0,0.8461538461538461,0.15384615384615385,,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,2020-10,12.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,2020-11,10.0,0.0,0.0,1.0,0.0,0.0,11.0,0.9090909090909091,0.09090909090909091,,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,2020-12,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,2021-1,1.0,0.0,0.0,1.0,1.0,1.0,2.0,0.5,0.5,,8.485281374238568,8.485281374238568,4.242640687119284,3550.0000000000005,7200.0,3550.0000000000005
2021-02-01,2021-2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,2021-3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,2021-4,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,2021-5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,2021-6,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,2021-7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,2021-8,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8,0.2,,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2021-10-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2021-11-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2021-12-01,2021-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-03-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-04-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-06-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-07-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-08-01,2022-8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-01,2022-9,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-01,2022-10,2.0,0.0,0.0,2.0,0.0,0.0,4.0,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2022-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2023-01-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2023-02-01,2023-2,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-01,2023-3,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0
2023-04-01,2023-4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-05-01,2023-5,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
2023-06-01,2023-6,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-07-01,2023-7,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-08-01,2023-8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-09-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2023-10-01,2023-10,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-11-01,2023-11,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2024-01-01,2024-1,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-02-01,2024-2,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01,2024-3,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-01,2024-4,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2024-06-01,2024-6,5.0,1.0,0.2,0.0,0.0,0.0,5.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-01,2024-7,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,2024-8,12.0,0.0,0.0,1.0,1.0,1.0,13.0,0.9230769230769231,0.07692307692307693,,8.485281374238568,8.485281374238568,0.6527139518645052,546.1538461538462,7200.0,546.1538461538462
2024-09-01,2024-9,4.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-01,2024-10,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-01,2024-11,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2025-01-01,2025-1,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-01,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,0.0,
2025-03-01,2025-3,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-01,2025-4,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-01,2025-5,2.0,1.0,0.5,0.0,0.0,0.0,2.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-01,2025-6,6.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-01,2025-7,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.8,0.2,,0.0,0.0,0.0,0.0,0.0,0.0
